"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1092141","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1069358","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1078985","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1107696","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1157481","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1188663","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1207909","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1259608","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1308685","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1376251","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1447508","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1473418","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1517887","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1545232","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1592933","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1643973","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1687281","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1722238","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1739534","","","","0"
